    x         y
    199518    787098
    199521    866152
    199538    887807
    199543    879414
    199545    874420
    199560    864511
    199579    880769
    199584    877010
    199596    878696
    199610    872750
    199613    779010
    199618    851924
    199623    782570
    199658    869574
    199687    885518
    199705    857424
    199707    851026
    199714    879880
    199717    821169
    199722    871418
    199725    848045
    199775    827169
    199780    833053
    199807    888515
    199830    792385
    199832    880715
    199841    852637
    199841    883588
    199855    811466
    199873    856833
    199876    878445
    199897    848724
    199905    866291
    199942    879606
    199955    885470
    199958    799051
    199972    888410
    199982    787705
    199987    862213
    199987    893979
    200006    895194
    200013    882767
    200022    870014
    200041    800105
    200054    802426
    200071    879831
    200078    885751
    200090    874380
    200093    875049
    200098    867512
    200107    922844
    200123    862695
    200124    796588
    200129    898172
    200129    872455
    200137    868215
    200140    889524
    200142    803198
    200146    872167
    200173    885818
    200189    883976
    200191    879991
    200209    851134
    200210    850540
    200212    847718
    200220    863467
    200252    863169
    200254    885026
    200255    886261
    200273    853795
    200288    843514
    200298    784833
    200302    882844
    200305    885925
    200309    870230
    200329    873028
    200360    843556
    200368    862915
    200368    881706
    200375    885195
    200377    790666
    200399    872871
    200410    876882
    200415    873009
    200417    869944
    200433    899206
    200435    887547
    200439    909065
    200442    864325
    200469    874512
    200496    883069
    200498    802236
    200500    854987
    200505    891079
    200510    876838
    200519    873099
    200520    875130
    200525    860744
    200525    866242
    200532    894390
    200534    852116
    200563    863916
    200566    887378
    200571    874679
    200604    756756
    200614    884185
    200616    870497
    200618    857437
    200619    789549
    200640    792969
    200659    864116
    200660    769969
    200667    885148
    200688    859784
    200705    851823
    200710    792176
    200738    859134
    200748    859756
    200754    871935
    200766    789258
    200768    875848
    200799    798747
    200816    871229
    200818    848839
    200839    863708
    200853    908797
    200864    891051
    200872    773287
    200876    895639
    200882    862790
    200891    877182
    200899    870561
    200933    779532
    200960    868620
    200962    880494
    200977    892737
    200978    776312
    200980    878423
    200988    892227
    201004    893054
    201005    893560
    201064    879827
    201064    886733
    201069    877568
    201105    873352
    201108    806628
    201170    786640
    201200    877317
    201205    877808
    201236    872000
    201261    885190
    201263    779783
    201286    873407
    201287    874154
    201303    789117
    201311    890680
    201320    882339
    201321    878294
    201348    791462
    201366    862437
    201376    872836
    201377    807915
    201378    787744
    201388    869102
    201389    890930
    201391    873666
    201404    815250
    201419    886113
    201432    800175
    201444    877232
    201463    844995
    201490    904363
    201514    889106
    201523    870953
    201558    788745
    201583    793838
    201596    876696
    201611    813514
    201621    806007
    201638    790182
    201655    859145
    201685    861051
    201687    776692
    201694    853665
    201694    901101
    201702    803606
    201733    866063
    201733    794630
    201750    885496
    201763    888885
    201765    783469
    201766    851429
    201778    871005
    201778    802953
    201782    887667
    201794    895975
    201806    850657
    201815    878255
    201821    859003
    201836    881254
    201842    895462
    201850    866266
    201856    856656
    201867    786647
    201867    845432
    201868    814093
    201887    873000
    201896    884873
    201907    793629
    201932    888024
    201961    882434
    201973    880820
    201976    821063
    201992    870753
    202000    789440
    202009    790084
    202012    877898
    202015    861203
    202019    888821
    202023    882754
    202056    873591
    202058    843246
    202064    789619
    202104    869347
    202105    861930
    202108    856083
    202144    880834
    202189    891820
    202221    889446
    202242    838469
    202255    873309
    202263    882391
    202269    860561
    202273    852503
    202275    897913
    202290    793520
    202310    895671
    202310    876818
    202320    870643
    202333    866331
    202336    787618
    202343    871345
    202353    867418
    202354    796839
    202383    867827
    202388    871809
    202412    883848
    202419    876003
    202435    877155
    202437    809072
    202453    837127
    202463    761977
    202467    870253
    202472    789737
    202473    876299
    202475    806751
    202483    867704
    202502    875115
    202505    870699
    202506    875937
    202511    820592
    202538    884488
    202543    819870
    202565    325509
    202590    863934
    202597    817765
    202623    787911
    202624    880247
    202628    846972
    202629    869243
    202644    801117
    202664    789794
    202669    769610
    202679    855986
    202680    861770
    202682    866545
    202684    886545
    202688    791955
    202688    786116
    202710    791824
    202718    880950
    202731    870635
    202737    875130
    202740    860273
    202741    885102
    202741    876301
    202759    780659
    202773    766817
    202779    882579
    202806    889651
    202809    822904
    202811    797276
    202817    791965
    202839    870242
    202847    812357
    202848    796107
    202850    786704
    202878    867980
    202885    879357
    202891    837941
    202894    899664
    202908    810654
    202918    834629
    202921    890036
    202925    875221
    202952    900314
    202964    863777
    202974    903063
    202975    864969
    202979    820411
    202998    795093
    203014    881613
    203030    816163
    203038    785554
    203042    884868
    203066    792241
    203078    862432
    203079    789301
    203081    800502
    203108    796004
    203119    809967
    203138    877949
    203156    878022
    203170    791446
    203176    900522
    203226    764254
    203227    873261
    203263    885398
    203265    884026
    203288    861253
    203296    786625
    203302    874221
    203304    782278
    203337    884878
    203343    803660
    203349    786489
    203380    874276
    203403    824453
    203452    872986
    203455    750929
    203459    808054
    203470    793836
    203483    905102
    203487    757727
    203516    847203
    203548    793123
    203551    846051
    203562    890397
    203569    869439
    203573    883770
    203587    791672
    203587    792286
    203605    804327
    203623    795961
    203627    886381
    203631    865491
    203636    791502
    203667    879317
    203668    880460
    203702    785517
    203702    881977
    203706    878026
    203710    908219
    203724    878567
    203743    809364
    203753    890267
    203763    875549
    203768    798802
    203834    784585
    203853    860222
    203855    870533
    203866    872490
    203905    874553
    203918    823179
    203923    799259
    203928    802553
    203941    780194
    203943    851448
    203950    802188
    203958    885967
    203970    867645
    203975    885160
    203989    813463
    203995    850691
    204056    898470
    204063    864474
    204064    864609
    204067    787030
    204067    784825
    204105    805764
    204110    890460
    204111    890673
    204114    850017
    204117    885470
    204127    890117
    204136    812632
    204140    775289
    204147    862141
    204149    817531
    204171    845476
    204173    870106
    204178    786810
    204188    871707
    204199    864350
    204215    855264
    204235    788173
    204253    805196
    204267    891081
    204303    820975
    204311    864431
    204318    865923
    204319    801632
    204324    888891
    204335    870208
    204337    869083
    204345    791183
    204346    787062
    204351    836828
    204377    746126
    204379    895794
    204385    783773
    204404    781948
    204409    820491
    204409    768514
    204419    900569
    204419    874978
    204430    859496
    204437    893472
    204437    811255
    204454    811166
    204458    781991
    204459    877593
    204468    842665
    204470    876044
    204482    818856
    204519    893023
    204538    771774
    204548    839373
    204616    869253
    204659    802124
    204667    805454
    204686    866171
    204708    867261
    204710    883173
    204713    858524
    204775    874695
    204777    869917
    204799    796802
    204804    779660
    204805    869368
    204808    813506
    204809    803398
    204811    770786
    204812    873421
    204817    854047
    204832    870540
    204833    862813
    204837    798393
    204862    787191
    204889    818964
    204890    855657
    204895    888671
    204899    788004
    204918    871923
    204948    904009
    204954    901181
    204968    806106
    204973    796614
    204979    878489
    205008    767264
    205025    875871
    205030    774432
    205041    841278
    205057    846766
    205066    915881
    205084    790873
    205104    788714
    205129    888281
    205140    891735
    205145    758699
    205150    885567
    205164    801210
    205180    865825
    205213    883207
    205219    879864
    205223    887773
    205238    880084
    205240    800820
    205247    838783
    205267    840678
    205301    841371
    205312    912178
    205316    881543
    205342    873474
    205373    834038
    205402    875632
    205424    884145
    205438    787328
    205449    787185
    205462    780007
    205480    896130
    205481    891594
    205510    891942
    205512    791362
    205513    888831
    205515    869407
    205527    885464
    205536    864465
    205547    854672
    205571    893735
    205575    785594
    205586    877646
    205593    882459
    205599    890775
    205606    801523
    205629    884793
    205629    870802
    205637    861551
    205644    877854
    205680    884429
    205692    867697
    205695    325273
    205709    846925
    205739    872925
    205753    805223
    205758    859524
    205786    905057
    205787    871521
    205803    790421
    205807    885486
    205823    787981
    205824    775054
    205835    869690
    205858    900018
    205864    802635
    205865    842151
    205875    876342
    205886    792268
    205932    859167
    205943    859133
    205972    872664
    205989    884364
    205990    781039
    205993    883180
    205993    870337
    206002    870539
    206006    863725
    206019    867073
    206040    880589
    206045    822664
    206061    797581
    206069    850399
    206099    863856
    206102    891971
    206137    863234
    206142    795949
    206163    866107
    206166    893792
    206173    534297
    206187    807183
    206217    860420
    206229    878126
    206261    883890
    206275    849858
    206289    852769
    206293    808355
    206329    888534
    206355    783692
    206369    781671
    206371    808745
    206379    885197
    206389    765833
    206402    797408
    206431    886091
    206431    788733
    206444    899172
    206450    805824
    206470    879522
    206473    769183
    206476    902760
    206476    797955
    206488    866582
    206496    797502
    206514    874697
    206523    797058
    206561    886743
    206562    877214
    206600    769947
    206619    790139
    206621    861108
    206678    882627
    206688    800341
    206733    805189
    206753    880749
    206766    809428
    206787    784900
    206806    902983
    206823    866555
    206839    872454
    206845    785445
    206845    872756
    206856    867146
    206893    780822
    206902    860527
    206903    785269
    206923    888592
    206941    876562
    206971    875131
    206999    809115
    206999    876980
    207037    881187
    207043    875588
    207059    796783
    207077    789294
    207098    882161
    207103    755820
    207104    757733
    916306    446629
    916318    466215
    916347    112615
    916403    487400
    916441    495914
    916489    146485
    916534    175521
    916576    902156
    916576    891941
    916578    141554
    916586    392136
    916591    283950
    916613    674091
    916628    500470
    916631    471396
    916690    499502
    916719    475696
    916726    458943
    916762    455732
    916799    455997
    916802    458270
    916812    141588
    916858    107776
    916871    875905
    916879    457595
    916879    592281
    916896    461839
    916897    418064
    916898    472830
    916902    160098
    916914    485930
    916922    466520
    916944    904607
    916964    152031
    916968    483564
    916968    467519
    916974    412476
    916989    413295
    916994    461486
    917002    468627
    917045    259018
    917091    466272
    917093    480523
    917102    486644
    917270    129532
    917276    449571
    917279    462094
    917303    455260
    917316    459541
    917316    454818
    917329    400418
    917334    478589
    917342    404018
    917351    397135
    917374    472747
    917386    487017
    917407    293878
    917469    702603
    917518    407413
    917551    474099
    917569    501513
    917686    422528
    917704     91927
    917719    459691
    917768    107614
    917776    129978
    917785    367335
    917816    404470
    917819    442948
    917860    429222
    917933    475308
    917944    402054
    917944    400783
    917964    473863
    917972    471297
    917987    158584
    917999    480653
    918032    476871
    918126    372495
    918129    404453
    918143    901177
    918155    472133
    918185    156987
    918204    484144
    918242    159393
    918249    452855
    918262    114348
    918276    435728
    918304    419728
    918337    474131
    918347    456220
    918350    490821
    918369    485082
    918388    476303
    918405    452946
    918410    408536
    918414    382275
    918423    482893
    918430    394290
    918441    469463
    918460    891142
    918463    491407
    918517    491891
    918521     97127
    918526    456207
    918585    616857
    918589    621674
    918604    448702
    918606    122540
    918607    465961
    918613    394921
    918617    423764
    918619    139153
    918671    384712
    918680    471197
    918695    477042
    918700    483565
    918737    470985
    918797    399405
    918809    122379
    918810    402737
    918824    451649
    918835    467359
    918850    481587
    918863    139195
    918882    113300
    918921    467359
    918961    654728
    918962    458331
    918970    471041
    919007    453284
    919021    408707
    919038    152179
    919043    425320
    919125    507310
    919134    149166
    919175    114905
    919182    274715
    919195    403229
    919210    457734
    919235    130007
    919295    399289
    919309    430952
    919333    479331
    919356    873634
    919364    850415
    919373    491757
    919378    415264
    919396    483749
    919426    367103
    919467    494477
    919468    120556
    919481    144647
    919482    869890
    919482    446972
    919487    428452
    919518    498714
    919543    462310
    919550    477226
    919601    470252
    919637    464700
    919654    126302
    919667    660504
    919681    459117
    919688    482532
    919706    471875
    919722    163871
    919733    472093
    919737    122266
    919749    462453
    919764    391936
    919805    490961
    919853    395371
    919856    426610
    919941    476679
    919949    388844
    919960    274730
    919973    441502
    919978    167362
    920029    428270
    920035    487235
    920038    158696
    920044    479518
    920048    462550
    920058    601541
    920061    456516
    920074    846984
    920103    468342
    920123    421021
    920142    416637
    920156    465720
    920185    119246
    920226    466710
    920250    457163
    920266    625925
    920280    155665
    920295    293348
    920304    419922
    920321    610849
    920375    694545
    920414    162396
    920422    172567
    920439    638409
    920463    147846
    920534    662329
    920556    136786
    920601    399015
    920610    377316
    920614    384769
    920617    461152
    920629    386874
    920633    450042
    920646    126564
    920651    490548
    920658    417134
    920660    616339
    920671    883984
    920688    408516
    920773    480555
    920784    410635
    920798    161679
    920801    471733
    920825    464160
    920848    445892
    920858    474250
    920894    607545
    920901    503666
    920927    651055
    920943    388517
    920946    383198
    920961    412802
    920970     93464
    920988    480219
    921088    104161
    921099    462961
    921112    407518
    921122    475796
    921145    432673
    921158    464906
    921203    170225
    921225    124801
    921226    498043
    921228    110139
    921233    280033
    921243    430613
    921262    138355
    921316    458751
    921320    486194
    921320    503655
    921321    473699
    921323    440517
    921351    604352
    921355    459441
    921402    428132
    921440    470649
    921441    162024
    921443    127286
    921455    637938
    921456    469120
    921503    623090
    921523    382406
    921530    451001
    921543    678971
    921564    417269
    921575    432853
    921579    388082
    921601    472152
    921624    130292
    921636    484880
    921668    397356
    921673    127670
    921676    479264
    921684    478907
    921684    429283
    921689    448497
    921781    476277
    921783    130623
    921869    483069
    921902    162774
    921914    480743
    921918    454184
    921936    643748
    921938    483463
    921963    380120
    921986    475438
    921995    484363
    922046    455394
    922083    484672
    922083    470946
    922084    462439
    922115    475421
    922117    483015
    922124    388666
    922127    478116
    922270    140059
    922401    455810
    922469    123198
    922529    472173
    922532    135148
    922567    473648
    922577    475830
    922624    410165
    922625    136805
    922633    474622
    922649    465335
    922693    117558
    922701    462721
    922743    398266
    922786    371782
    922813    462089
    922842    390081
    922875    121011
    922895    150135
    922962    667321
    922964    670527
    922968    501176
    923003    125446
    923056    123182
    923059     99446
    923107    114277
    923155    470346
    923164    614505
    923231    420606
    923265    633690
    923283    171532
    923291    468545
    923300    468957
    923305    128262
    923369    462897
    923395    140405
    923427    131994
    923454    436393
    923454    477827
    923487    472009
    923555     93733
    923576    682117
    923635    477068
    923645    432073
    923694    457303
    923695    470212
    923698    463965
    923716    113325
    923748    464448
    923762    349633
    923805    480436
    923808    913341
    923822    174728
    923831    385849
    923845    145672
    923924    490040
    923934    680911
    923965    368338
    923976    399140
    923979    613577
    923984    430600
    923988    434576
    923989    457055
    923992    368505
    923995    425062
    924055    876673
    924066     99854
    924082    470522
    924098    432417
    924117    472603
    924118    469715
    924134    360090
    924159    396866
    924183    466767
    924253    451166
    924296    884738
    924296    410858
    924304    465586
    924343    473744
    924346    465668
    924395    119111
    924410    417796
    924429    390818
    924483    120430
    924573    479425
    924631    436236
    924655    422481
    924702    137460
    924719    468894
    924734    142880
    924821    116047
    924835    473264
    924863    450702
    924877     94083
    924896    120432
    924912    450997
    924920    389724
    924946     93218
    924953    394083
    924971    444300
    924974    444793
    924992    424921
    924999    483458
    925009    406548
    925075    399982
    925181    496320
    925235    455377
    925263    125962
    925287    423537
    925302    452117
    925319    470511
    925330    385491
    925519    401561
    925528    480666
    925535    635290
    925537    144582
    925584    395160
    925587    493217
    925707    476888
    925762    464032
    925776    461368
    925791    413970
    925797    488721
    925803    484179
    925807    263535
    925837    409086
    925848    483266
    925853    383274
    925868    649224
    925910    459221
    925926    452217
    925941    127375
    925955     93987
    925988    141385
    926012    501478
    926027    457880
    926178    465534
    926254    628448
    926295    478478
    926395    465095
    926400    135689
    926411    451799
    926433    478854
    926441    448205
    926448    481209
    926453    448402
    926538    464682
    926583    473484
    926588    471260
    926657    125181
    926721    451965
    926751    451495
    926858    480822
    926901    461857
    926909    416457
    926970    421895
    926983     96739
    927011    487025
    927013    387253
    927018    473730
    927044    476577
    927060    488504
    927093    469813
    927177    583908
    927309    434213
    927331    643382
    927355    467132
    927406    134027
    927445    474445
    927445    473522
    927471    409014
    927515    492146
    927614    458281
    927652    456283
    927688    160264
    927698    417292
    927719    128521
    927743    656739
    927748    495116
    927756    467623
    927803    461584
    927840    376162
    927995    488125
    928035    392226
    928076    105569
    928101    380940
    928188    474710
    928231    176563
    928267    169329
    928270    460606
    928280    440693
    928296    151953
    928395    490532
    928438    110766
    928463    464741
    928594    125843
    928607    416919
    928670    482914
    928731    461815
    928756    396466
    928771    406336
    928787    477401
    928798    395962
    928842    100481
    928874    473285
    928922    460775
    928926    395348
    928930    395955
    928935    488433
    928937    478163
    928939    166728
    928996    422554
    929000    471526
    929003    139031
    929062    482307
    929076    484708
    929097    469641
    929105    394670
    929108    446741
    929171    160227
    929176    468584
    929234    626367
    929350    679251
    929361    404530
    929459    461348
    929470    477738
    929484    448955
    929510    421215
    929528    292264
    929565    452464
    929567    266430
    929610    380637
    929618    474483
    929618    467620
    929745    468047
    929748    499314
    929748    484288
    929862    456653
    929899    677709
    929990    407980
    930032    377395
    930085    386947
    930104    472157
    930155    474986
    930206    665755
    930233    630373
    930310    127577
    930318    469353
    930376    388837
    930399    637488
    930427    493849
    930464    466874
    930499    502385
    930569     82335
    930676    480841
    930725    157892
    930761    394199
    930797    125385
    930844    473678
    930891    415773
    930902    457054
    930953    444324
    930979    469817
    931090    401286
    931099    383621
    931133    159807
    931175    887707
    931181    474539
    931184    462741
    931237    641552
    931324    123040
    931366    384029
    931649    474674
    931653    488955
    931675    395628
    931922    460325
    932030    483928
    932091    606792
    932124    394921
    932178    392151
    932245    148748
    932401    414351
    932483    460658
    932538    446657
    932555    389910
    932646    462824
    932699    497509
    932769    401391
    932794    464658
    932848    493241
    933231    476992
    933238    124984
    933251    390440
    933539    392952
    933563    403094
    933572    417837
    933580    464786
    933584    131171
    933610    474312
    933621    499333
    933625    475218
    933673    390375
    933804    644488
    933805    463346
    933817    449892
    933832    414466
    933916    678438
    933964    121932
    934005    458521
    934116    652178
    934153    615848
    934166    425463
    934296    461188
    934353    395252
    934391    479068
    934427    425770
    934428    468211
    934444    444619
    934449    488418
    934497    402426
    934560    465814
    934582    476007
    934695    457828
    934728    455416
    934738    136403
    934759    464398
    934958    122080
    934962    482282
    934994    412035
    935114    453364
    935166    464677
    935239    397623
    935381    664741
    935452    473319
    935491    470862
    935510    486650
    935537    481231
    935543    498409
    935610    400181
    935662    483758
    935679    129019
    935854    414374
    935928    431575
    936021    471170
    936072    403980
    936113    118711
    936127    617243
    936213    476350
    936262    474406
    936341    446185
    936468    465462
    936473    643151
    936475    466757
    936566    431781
    936648    401698
    936667    457807
    936734    426071
    936881    644602
    936881    477208
    936915    477218
    936991    600326
    937200    144345
    937258    455473
    937383    390483
    937760    112991
    937775    391016
    937781    433378
    938084    457573
    938126    107411
    938127    398349
    938173    467554
    938199    352512
    938730    400547
    938745    412465
    938842    115542
    939103    115371
    939266    405089
    939303    481281
    939309    116410
    939403    481345
    939457    653192
    939704    652416
    939734    476279
    939940    505196
    939945    392309
    939952    140173
    940062    411439
    940170    173392
    940292    394449
    940302    406758
    940446    409002
    940474    464524
    940639    127553
    940885    113066
    941194     74332
    941485    177345
    941543    443164
    941553    472068
    941569    504813
    941966    423639
    942099    465093
    942227    613918
    942318    667751
    942817    384811
    943036    114932
    943254    460169
    943628    462523
    944073    111415
    944111    410239
    944187    111856
    944227    388396
    944585    416765
    944664    410884
    944779    664423
    945053    428802
    945201    458456
    945216    387004
    945257    484830
    945269    470108
    945712    446454
    945778    103876
    945901    642406
    945905    459786
    946192    886906
    946252    428453
    946264    639045
    946589    457533
    946960    482944
    946993    675058
    947099    144790
    947343    459674
    947394    398423
    948180    480100
    948318    468750
    948355    157550
    948745    481405
    948793    696827
    949157    381518
    949359    481837
    949437    493244
    949574    381547
    950124    451642
    950622    395947
    950815    645355
    951139    473256
    951840    482624
    952889    374533
    953317    486776
    953987    431293
    954080    122210
    955267    493395
    955343    391503
    955938    380512
    957832    617334
    959638    405840
    959792    160861
    960162    637092
    963496    412541
    971700    389171
    984639    384486
    207110    866293
    207123    792118
    207139    894707
    207163    885235
    207167    765658
    207195    864230
    207249    874982
    207249    850438
    207281    847256
    207290    886348
    207309    776903
    207313    785880
    207330    758314
    207347    793994
    207351    891914
    207351    868933
    207361    793908
    207383    819175
    207393    873491
    207435    838197
    207466    795872
    207470    809033
    207483    848575
    207505    882158
    207507    871192
    207516    787016
    207535    806717
    207557    779932
    207575    782989
    207578    330535
    207593    882276
    207595    779119
    207625    790719
    207637    784173
    207655    863584
    207729    880247
    207736    882338
    207744    853246
    207751    771948
    207753    791101
    207763    807210
    207767    771845
    207773    879236
    207778    865022
    207801    883242
    207806    862764
    207822    817485
    207827    800078
    207829    871734
    207887    869864
    207889    836793
    207889    897601
    207891    851536
    207893    788946
    207895    809105
    207902    888605
    207916    785261
    207916    883766
    207931    875405
    207940    895251
    207951    873453
    207952    783001
    207963    772984
    208013    813731
    208014    310689
    208031    854118
    208046    897207
    208050    791596
    208056    486547
    208060    781781
    208087    806713
    208094    761636
    208103    854821
    208121    888335
    208125    863067
    208134    804951
    208136    761197
    208139    885173
    208166    844032
    208167    902015
    208178    876355
    208189    880127
    208192    794571
    208193    799843
    208205    903397
    208245    884072
    208290    844976
    208297    850292
    208385    865771
    208390    787246
    208401    905721
    208418    792670
    208439    864630
    208470    803812
    208475    772743
    208491    896356
    208496    790497
    208497    875099
    208501    793566
    208507    905728
    208514    881428
    208521    882779
    208524    839917
    208532    879319
    208543    885953
    208547    800043
    208550    807931
    208569    783087
    208596    494969
    208601    775031
    208633    904122
    208646    848739
    208718    796828
    208727    783154
    208763    782434
    208765    843010
    208786    798142
    208804    826407
    208806    886945
    208825    792186
    208830    844631
    208855    897230
    208856    836851
    208868    885318
    208873    879020
    208890    817510
    208895    896435
    208928    795708
    208942    815943
    208953    784150
    208987    852174
    209004    778323
    209018    878705
    209039    884456
    209044    792871
    209050    862534
    209092    781325
    209109    811359
    209112    827956
    209127    791873
    209176    903984
    209188    787507
    209192    792990
    209193    863592
    209222    903261
    209227    842623
    209236    896421
    209286    903505
    209290    822871
    209343    908761
    209359    770303
    209378    805307
    209387    887988
    209390    882623
    209392    903767
    209411    875616
    209420    799438
    209449    866628
    209453    856840
    209467    769368
    209492    760156
    209518    791117
    209537    793111
    209574    873907
    209593    899763
    209612    896614
    209649    808640
    209661    885978
    209682    804287
    209690    897186
    209701    852755
    209736    881230
    209781    793266
    209793    867752
    209804    786529
    209843    894829
    209873    889787
    209877    782435
    209881    873928
    209887    834983
    209896    837461
    209930    796488
    209933    782137
    209935    782730
    209938    804448
    209974    853572
    210014    513376
    210014    806852
    210031    793226
    210035    885826
    210058    794608
    210067    849054
    210079    805179
    210100    798479
    210129    805892
    210141    891202
    210149    907022
    210161    809458
    210172    785699
    210202    873583
    210211    880018
    210221    773339
    210249    883612
    210273    889062
    210289    797360
    210297    792397
    210305    801490
    210319    784323
    210325    637432
    210329    794870
    210331    880366
    210352    867346
    210358    873301
    210380    883551
    210390    778564
    210397    860535
    210452    794988
    210460    873983
    210489    779370
    210512    778453
    210536    865536
    210546    777638
    210578    769667
    210610    835703
    210612    794826
    210625    907625
    210626    865610
    210695    907080
    210745    864235
    210763    897930
    210809    796328
    210823    812868
    210827    818681
    210829    816978
    210888    812737
    210895    801453
    210932    862306
    210944    780575
    210951    851604
    210957    882604
    210957    798185
    210970    796188
    210977    806215
    210985    800183
    211012    871668
    211023    790109
    211038    476596
    211074    812954
    211096    877006
    211104    875836
    211106    877390
    211110    756146
    211127    795197
    211135    896481
    211146    797632
    211160    859870
    211163    822039
    211164    792021
    211181    900387
    211202    809084
    211229    819110
    211253    785299
    211266    780292
    211278    865137
    211280    795820
    211294    866736
    211321    866286
    211365    786078
    211373    870049
    211374    807144
    211379    852758
    211382    824573
    211384    474621
    211393    814791
    211456    852949
    211492    881714
    211541    804959
    211560    790164
    211560    793741
    211569    910274
    211596    811175
    211641    855607
    211670    796366
    211682    796686
    211685    880876
    211705    872108
    211707    825456
    211721    809129
    211724    807248
    211775    890436
    211781    801861
    211827    893230
    211834    771147
    211836    790720
    211865    777836
    211872    799894
    211887    800692
    211905    889839
    211920    863655
    211947    920812
    211950    889614
    211950    861263
    212026    858679
    212049    860478
    212057    789819
    212095    778567
    212097    791978
    212142    789564
    212160    778023
    212169    816579
    212172    811924
    212188    790527
    212213    764063
    212216    809812
    212218    798345
    212222    813593
    212229    800186
    212264    784657
    212298    887183
    212311    762154
    212311    886458
    212319    888390
    212325    801132
    212339    884577
    212346    910213
    212368    787901
    212386    764546
    212386    794586
    212390    850629
    212415    857976
    212429    805230
    212430    824487
    212450    863935
    212450    890090
    212495    772299
    212497    865910
    212510    786374
    212530    863652
    212544    808714
    212544    781813
    212554    821195
    212561    857959
    212591    813386
    212618    487182
    212685    761385
    212701    763126
    212709    799770
    212771    809141
    212773    798261
    212783    805467
    212783    878440
    212785    870184
    212835    798436
    212855    903098
    212858    885273
    212879    896580
    212890    867915
    212892    870474
    212893    767336
    212905    774768
    212925    854481
    212943    782121
    212943    775955
    212959    773578
    212977    509237
    212987    902115
    212996    858345
    213003    875412
    213011    752956
    213039    800785
    213062    807091
    213083    776852
    213092    782425
    213101    836887
    213139    809743
    213201    863195
    213211    793327
    213220    802438
    213230    862106
    213239    789517
    213263    809951
    213279    895040
    213314    887255
    213315    803388
    213341    817607
    213364    765242
    213389    784376
    213401    808337
    213414    870624
    213437    828370
    213476    797077
    213519    814261
    213566    797050
    213592    794977
    213598    865927
    213649    794621
    213651    785687
    213673    804931
    213680    870534
    213697    862772
    213698    828327
    213702    779752
    213740    821922
    213751    773755
    213757    793565
    213793    786831
    213805    791472
    213843    789243
    213846    796658
    213847    899758
    213848    875816
    213860    893992
    213903    807688
    213948    868664
    213957    785112
    213957    765587
    213966    797724
    213983    882328
    213998    846726
    214033    875033
    214080    785334
    214095    798144
    214107    790278
    214139    817463
    214163    813239
    214178    867125
    214195    772729
    214220    776123
    214246    855434
    214260    805714
    214273    859057
    214292    878854
    214297    804527
    214310    893105
    214316    794751
    214320    822907
    214330    801569
    214348    861331
    214358    862230
    214375    792750
    214390    775492
    214402    864359
    214431    811456
    214440    789484
    214459    804602
    214485    810831
    214497    837407
    214511    777488
    214514    909553
